iter	Passed	Remaining
739	5414	1902
740	5431	1898
741	5436	1890
742	5442	1882
743	5447	1874
744	5453	1866
745	5459	1858
746	5464	1850
747	5469	1842
748	5475	1834
749	5480	1826
750	5486	1818
751	5491	1811
752	5497	1803
753	5502	1795
754	5519	1791
755	5550	1791
756	5557	1783
757	5562	1776
758	5569	1768
759	5576	1761
760	5583	1753
761	5588	1745
762	5594	1737
763	5599	1729
764	5622	1727
765	5627	1719
766	5634	1711
767	5640	1703
768	5653	1698
769	5659	1690
770	5666	1682
771	5672	1675
772	5679	1667
773	5696	1663
774	5702	1655
775	5709	1648
776	5716	1640
777	5725	1633
778	5731	1626
779	5739	1618
780	5753	1613
781	5759	1605
782	5767	1598
783	5774	1590
784	5779	1582
785	5784	1575
786	5790	1567
787	5796	1559
788	5801	1551
789	5807	1543
790	5812	1535
791	5818	1528
792	5824	1520
793	5829	1512
794	5836	1504
795	5843	1497
796	5855	1491
797	5869	1485
798	5876	1478
799	5884	1471
800	5891	1463
801	5898	1456
802	5903	1448
803	5909	1440
804	5914	1432
805	5928	1426
806	5934	1419
807	5939	1411
808	5945	1403
809	5957	1397
810	5962	1389
811	5967	1381
812	5974	1374
813	5980	1366
814	5986	1358
815	5992	1351
816	6008	1345
817	6013	1338
818	6019	1330
819	6024	1322
820	6030	1314
821	6035	1307
822	6040	1299
823	6047	1291
824	6054	1284
825	6060	1276
826	6067	1269
827	6073	1261
828	6079	1254
829	6085	1246
830	6090	1238
831	6096	1230
832	6101	1223
833	6117	1217
834	6122	1209
835	6128	1202
836	6147	1197
837	6152	1189
838	6158	1181
839	6164	1174
840	6169	1166
841	6191	1161
842	6196	1154
843	6201	1146
844	6207	1138
845	6212	1130
846	6220	1123
847	6226	1116
848	6232	1108
849	6238	1100
850	6244	1093
851	6251	1085
852	6265	1079
853	6279	1073
854	6285	1065
855	6291	1058
856	6296	1050
857	6301	1042
858	6307	1035
859	6313	1027
860	6318	1020
861	6323	1012
862	6329	1004
863	6335	997
864	6340	989
865	6346	982
866	6351	974
867	6357	966
868	6369	960
869	6374	952
870	6380	944
871	6385	937
872	6393	930
873	6399	922
874	6405	915
875	6417	908
876	6455	905
877	6460	897
878	6465	890
879	6472	882
880	6477	874
881	6483	867
882	6488	859
883	6494	852
884	6500	844
885	6505	837
886	6510	829
887	6516	821
888	6521	814
889	6526	806
890	6532	799
891	6537	791
892	6543	784
893	6549	776
894	6554	769
895	6560	761
896	6565	753
897	6572	746
898	6578	739
899	6584	731
900	6591	724
901	6597	716
902	6602	709
903	6608	701
904	6614	694
905	6619	686
906	6624	679
907	6630	671
908	6635	664
909	6641	656
910	6646	649
911	6652	641
912	6657	634
913	6662	626
914	6669	619
915	6676	612
916	6683	604
917	6689	597
918	6694	590
919	6700	582
920	6706	575
921	6711	567
922	6718	560
923	6723	553
924	6729	545
925	6735	538
926	6742	530
927	6748	523
928	6754	516
929	6762	509
930	6768	501
931	6775	494
932	6783	487
933	6791	479
934	6805	473
935	6811	465
936	6818	458
937	6824	451
938	6830	443
939	6848	437
940	6854	429
941	6859	422
942	6865	414
943	6870	407
944	6876	400
945	6882	392
946	6887	385
947	6908	378
948	6915	371
949	6923	364
950	6929	357
951	6937	349
952	6943	342
953	6951	335
954	6956	327
955	6962	320
956	6968	313
957	6973	305
958	6979	298
959	6984	291
960	6990	283
961	6995	276
962	7001	268
963	7006	261
964	7012	254
965	7017	246
966	7023	239
967	7028	232
968	7033	225
969	7039	217
970	7044	210
971	7050	203
972	7056	195
973	7061	188
974	7067	181
975	7073	173
976	7078	166
977	7084	159
978	7091	152
979	7096	144
980	7109	137
981	7116	130
982	7122	123
983	7127	115
984	7133	108
985	7138	101
986	7144	94
987	7149	86
988	7154	79
989	7160	72
990	7167	65
991	7173	57
992	7182	50
993	7188	43
994	7193	36
995	7199	28
996	7204	21
997	7209	14
998	7215	7
999	7220	0
